,subject_id,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl
351,91319026,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/de872b77-67c8-41cb-a6ef-07dcfd52bc69.png
352,91319027,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/adf46c60-581c-4566-a397-7915d2993c41.png
353,91319029,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fbf7698d-df19-4639-8d1d-084525a10ae9.png
354,91319031,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d82efb97-e609-4c64-aba2-a5d9e46db23d.png
355,91319032,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c4bc4b14-4f60-4dc4-a2c8-f1693572ee81.png
356,91319033,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/eccb639f-83b9-45f0-9f44-d5c0da9df17d.png
357,91319038,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1a9255ce-c7b0-4f34-aa43-6ead13f84584.png
358,91319039,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/eb03e303-2d9d-4a5e-9673-74eb7cdad6b7.png
359,91319040,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6712d47a-f52f-4d7b-b9f0-e49f54cd8c13.png
360,91319048,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/43d72860-2898-459d-9f7b-ab63b2668310.png
361,91319050,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c7ea3a3b-0f4a-4d0b-b442-435713346e42.png
362,91319051,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8300d55a-89cc-49fe-ab58-6c3851b05d9e.png
363,91319060,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2d37f501-6aac-4d80-9cb6-87942d219529.png
