Filename,a,b
010722-722648.png,6.35,5.97
005710-715144.png,6.92,6.07
010225-714033.png,7.06,6.41
011119-713854.png,15.22,10.82
010557-723226.png,6.67,6.5
005610-721832.png,6.53,5.87
010300-721724.png,6.91,6.45
005808-721241.png,6.57,6.12
010210-721253.png,6.63,6.43
010854-720540.png,6.59,6.04
005758-715402.png,6.56,6.05
010443-721326.png,6.8,6.28
010448-715158.png,7.06,6.37
011001-713930.png,6.56,6.02
010816-721658.png,9.1,7.87
010434-714510.png,6.79,6.43
010747-712325.png,6.48,6.08
010200-721621.png,6.7,6.02
005938-715515.png,6.47,6.1
010556-714855.png,6.62,6.14
010018-721558.png,6.36,6.05
010850-721557.png,6.57,6.1
010812-714831.png,6.69,6.18
010739-722320.png,6.71,6.32
010803-720901.png,15.83,7.1
010811-714422.png,6.7,6.29
005814-712736.png,6.37,6.24
010217-721415.png,6.39,5.92
010200-713500.png,6.91,6.3
010446-724229.png,6.53,6.04
010416-724144.png,6.56,5.99
010726-721753.png,6.64,6.05
011008-721704.png,6.98,6.17
011238-715551.png,6.38,6.17
010645-713541.png,6.47,6.22
010731-714813.png,6.75,6.03
010841-721516.png,7.06,6.76
010154-714541.png,6.62,5.85
010217-715752.png,6.82,6.32
010845-715048.png,6.95,6.41
010230-713447.png,6.48,5.8
010037-723856.png,6.26,5.96
010930-714230.png,8.04,7.65
010407-712108.png,6.49,6.03
010923-722209.png,28.48,23.94
010334-715721.png,6.29,5.99
010845-714649.png,6.97,5.93
010653-712712.png,6.94,6.25
010451-715320.png,7.46,6.35
005723-720349.png,9.2,7.38
010102-713500.png,6.48,6.26
010838-713500.png,9.1,7.56
010854-720121.png,6.62,6.08
010731-715245.png,6.53,5.98
010541-722116.png,7.48,6.67
011045-720608.png,6.56,6.29
010117-715812.png,6.44,5.99
010722-714937.png,6.67,5.94
010658-721416.png,6.63,6.33
010659-721408.png,6.68,6.1
010046-715911.png,6.59,6.42
010249-715448.png,6.52,6.08
010733-714553.png,6.4,6.23
010025-714342.png,6.56,6.18
010630-722110.png,6.58,6.01
010314-721730.png,6.64,6.03
010835-721236.png,6.54,6.24
010813-722740.png,8.07,6.74
005652-713607.png,7.03,6.03
010614-720701.png,6.53,6.05
010514-713418.png,9.15,6.93
010639-721818.png,7.89,6.97
010449-713634.png,6.3,6.25
010539-723701.png,7.2,6.82
010310-714600.png,6.7,6.27
010012-720150.png,7.07,6.39
010320-714836.png,6.59,6.07
010116-714113.png,6.51,6.17
010153-721416.png,6.56,6.2
010622-715316.png,6.67,5.82
010741-715125.png,6.54,6.08
005901-714335.png,6.26,6.11
010509-721147.png,6.77,6.0
010231-720259.png,8.27,6.71
005942-714837.png,6.85,6.26
005730-714605.png,6.78,6.0
010258-720348.png,7.09,6.07
010112-715838.png,6.2,6.02
010517-715500.png,9.22,6.47
010636-715650.png,6.49,6.22
005914-722233.png,6.77,6.31
010022-714357.png,6.88,6.38
010845-713815.png,6.56,5.71
010309-713729.png,6.51,5.94
010422-713338.png,6.71,6.18
010254-715029.png,7.07,6.11
005829-714910.png,6.54,6.02
010352-724344.png,6.59,6.07
011022-715553.png,7.11,6.03
010740-715246.png,6.81,6.02
010041-720117.png,7.31,6.34
010110-715404.png,6.61,6.04
010909-715050.png,6.74,5.78
010126-714331.png,6.66,6.35
010953-714106.png,9.12,6.78
010200-713632.png,6.63,5.75
010428-724117.png,7.21,7.07
011107-721939.png,6.78,6.11
010700-715242.png,6.5,6.13
005904-712649.png,6.77,6.09
010113-723902.png,9.6,7.71
010526-715124.png,7.91,7.03
005842-712856.png,6.79,6.22
010038-712643.png,6.97,6.37
010756-722510.png,6.5,6.21
010116-720516.png,6.41,6.29
005808-720339.png,6.74,6.05
010458-714435.png,6.67,6.06
010350-713915.png,6.94,6.04
010714-722339.png,7.37,6.66
010708-712923.png,9.22,8.47
010511-722557.png,7.04,6.79
010133-715225.png,6.62,6.5
005903-714824.png,6.81,6.3
010927-720818.png,10.26,7.62
005832-720205.png,6.51,5.65
005738-715804.png,6.52,6.06
010139-714907.png,7.04,5.85
010046-722132.png,6.6,6.11
005913-715854.png,6.89,6.58
005614-714232.png,6.55,6.02
010104-722818.png,7.47,6.75
010726-721003.png,6.64,6.06
010537-715317.png,6.61,5.95
005812-714718.png,7.01,6.17
010647-715339.png,7.15,6.21
010214-724031.png,6.73,6.23
010539-722610.png,17.27,14.15
010203-723101.png,8.49,6.22
010109-714818.png,6.9,5.78
005736-723344.png,10.28,7.95
010312-721958.png,13.05,12.74
005839-721439.png,6.99,6.14
010537-723737.png,6.66,6.17
010236-712657.png,6.57,6.13
005821-722459.png,6.58,6.04
005922-721550.png,6.52,6.02
010209-720823.png,6.49,6.13
010713-723210.png,6.86,6.15
011151-715439.png,6.55,6.1
005733-714114.png,6.56,6.0
010505-722707.png,6.48,6.0
010701-722327.png,6.41,6.14
010122-721627.png,6.45,6.01
010328-713753.png,6.81,6.11
010933-721215.png,6.57,6.15
010405-724416.png,6.52,6.05
010744-723024.png,6.87,6.21
010810-721302.png,6.82,6.15
010810-715159.png,10.88,6.41
010819-714958.png,6.69,6.08
010355-714813.png,6.61,5.92
010148-715540.png,6.67,6.33
010414-714935.png,7.25,6.58
010212-721901.png,6.49,6.23
010752-721018.png,6.45,6.18
010040-723516.png,6.71,6.05
011018-720958.png,6.75,6.53
010645-722028.png,6.53,6.06
010304-721849.png,6.88,6.62
010654-715437.png,6.68,6.15
011142-715117.png,6.65,5.96
010908-722003.png,6.68,6.43
010114-722906.png,6.38,5.82
010055-723657.png,6.53,6.32
010240-721600.png,11.44,9.34
010137-714421.png,6.95,5.85
