subject_id,Filename,flag_rad_point,a,b,is_point
91319308,010517-715500.png,1.0,9.22,6.47,0.0
91319309,010528-712917.png,1.0,6.66,6.18,1.0
91319310,010557-723226.png,0.0,6.67,6.5,1.0
91319311,010623-713345.png,0.0,6.68,6.01,1.0
91319312,010732-712549.png,0.0,6.71,6.0,1.0
91319313,010835-714057.png,0.0,6.58,6.18,1.0
91319314,010835-721236.png,1.0,6.54,6.24,1.0
91319315,005703-721636.png,0.0,6.66,6.08,1.0
91319316,005810-720841.png,0.0,8.03,7.4,0.0
91319317,005904-712649.png,1.0,6.77,6.09,1.0
91319318,005912-723240.png,0.0,6.94,6.53,1.0
91319319,010025-721806.png,1.0,6.62,5.6,1.0
91319320,010026-723407.png,0.0,6.5,5.82,1.0
91319321,010112-712354.png,1.0,6.6,6.01,1.0
91319322,010115-721638.png,0.0,6.75,6.04,1.0
91319323,010117-715812.png,1.0,6.44,5.99,1.0
91319324,010201-715537.png,0.0,6.62,6.2,1.0
91319325,010221-714425.png,0.0,6.99,5.98,1.0
91319326,010307-720627.png,0.0,14.6,8.24,0.0
91319327,010312-721958.png,0.0,13.05,12.74,0.0
91319328,010344-712605.png,1.0,15.4,13.36,0.0
91319329,010420-713606.png,1.0,18.68,8.98,0.0
91319330,010438-715246.png,0.0,16.88,11.17,0.0
91319331,010456-713923.png,1.0,21.44,12.76,0.0
91319332,010507-712449.png,0.0,6.63,6.05,1.0
91319333,010634-713715.png,0.0,6.61,6.43,1.0
91319334,010648-721849.png,0.0,6.73,6.29,1.0
91319335,010710-720103.png,1.0,6.96,6.09,1.0
91319336,010715-722419.png,0.0,6.59,6.12,1.0
91319337,010722-722648.png,1.0,6.35,5.97,1.0
91319338,010729-712915.png,0.0,6.45,6.26,1.0
91319339,010912-721355.png,0.0,7.77,6.39,0.0
91319340,010915-722048.png,0.0,6.49,6.28,1.0
91319341,010953-714106.png,1.0,9.12,6.78,0.0
91319342,011005-722649.png,0.0,6.61,6.32,1.0
91319343,011102-720946.png,0.0,6.55,6.32,1.0
91319344,011120-722257.png,0.0,7.71,6.79,0.0
91319345,005519-720807.png,1.0,6.58,6.11,1.0
91319346,005731-722303.png,0.0,6.54,5.9,1.0
91319347,005810-715056.png,1.0,6.96,6.15,1.0
91319348,005829-714041.png,1.0,6.84,5.99,1.0
91319349,005837-713550.png,0.0,6.71,6.27,1.0
91319350,005935-714210.png,1.0,6.6,5.94,1.0
91319351,010012-722101.png,1.0,6.42,5.97,1.0
91319352,010018-724122.png,1.0,6.66,6.22,1.0
91319353,010020-714433.png,0.0,7.51,6.59,0.0
91319354,010022-714357.png,1.0,6.88,6.38,1.0
91319355,010102-723243.png,1.0,6.75,6.08,1.0
91319356,010137-715416.png,1.0,6.94,6.19,1.0
91319358,010138-720005.png,1.0,7.32,6.05,1.0
91319360,010145-721707.png,0.0,6.55,6.1,1.0
91319361,010153-715759.png,0.0,6.48,6.07,1.0
91319363,010336-714217.png,1.0,6.26,6.18,1.0
91319364,010337-715847.png,0.0,6.73,6.3,1.0
91319365,010355-714813.png,0.0,6.61,5.92,1.0
91319367,010504-715926.png,0.0,6.84,6.05,1.0
