,subject_id,data.yes,data.no,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.yes-it-looks-like-a-radio-point-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,multi-source,homogeneous,point-star,oddORnot-sure,core-in-diffuse,Sum,Total_Class,multiFrac,homoFrac,pointFrac,unsureOddFrac,coreFrac,ext_radFrac,point_radFrac,flag_rad_point,flag_rad_extended,flag_rad_unsure,flag_optical_counterpart,metadata,locations,classifications_count,Filename,LCurl
1054,91321588,1.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012705-732552.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/4fc308e5-4c89-4f96-9298-e0b14e5841ee.png""}",5,012705-732552.png,https://panoptes-uploads.zooniverse.org/subject_location/4fc308e5-4c89-4f96-9298-e0b14e5841ee.png
1055,91321590,5.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,5.0,5.0,0.4,0.0,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"{""Filename"":""012706-731328.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/de8c2bd4-676c-4657-92d1-a647cbc44298.png""}",5,012706-731328.png,https://panoptes-uploads.zooniverse.org/subject_location/de8c2bd4-676c-4657-92d1-a647cbc44298.png
1056,91321591,1.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012706-735535.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/beab530e-1947-4cc1-a829-ff44a5113ba5.png""}",5,012706-735535.png,https://panoptes-uploads.zooniverse.org/subject_location/beab530e-1947-4cc1-a829-ff44a5113ba5.png
1057,91321593,0.0,5.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,"{""Filename"":""012711-730940.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/1ff0ebda-c760-4cd2-96fd-f11a0d4ab069.png""}",5,012711-730940.png,https://panoptes-uploads.zooniverse.org/subject_location/1ff0ebda-c760-4cd2-96fd-f11a0d4ab069.png
1058,91321594,0.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012711-734123.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/f1512b18-9e04-4fca-b0b0-2293a80da862.png""}",5,012711-734123.png,https://panoptes-uploads.zooniverse.org/subject_location/f1512b18-9e04-4fca-b0b0-2293a80da862.png
1059,91321596,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012712-735905.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e90de21b-00a7-4c5b-a109-70797e58b317.png""}",5,012712-735905.png,https://panoptes-uploads.zooniverse.org/subject_location/e90de21b-00a7-4c5b-a109-70797e58b317.png
1060,91321597,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012713-725417.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/105ccb8b-dc8d-4c65-8bc6-e295c4687bef.png""}",5,012713-725417.png,https://panoptes-uploads.zooniverse.org/subject_location/105ccb8b-dc8d-4c65-8bc6-e295c4687bef.png
1061,91321599,0.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012713-730645.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ec4f0d4e-d83e-41a8-84f3-38dffe8f11c0.png""}",5,012713-730645.png,https://panoptes-uploads.zooniverse.org/subject_location/ec4f0d4e-d83e-41a8-84f3-38dffe8f11c0.png
1062,91321600,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012714-725809.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/51626cfa-dcec-46f6-9108-f2c3855c0eeb.png""}",5,012714-725809.png,https://panoptes-uploads.zooniverse.org/subject_location/51626cfa-dcec-46f6-9108-f2c3855c0eeb.png
1063,91321602,1.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012715-732155.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/13f04029-9d24-4046-8c97-75a3ce94f537.png""}",5,012715-732155.png,https://panoptes-uploads.zooniverse.org/subject_location/13f04029-9d24-4046-8c97-75a3ce94f537.png
